province_name,regency_code,region_name_raw,name_flag,year,year_flag,value,value_flag,table_header_raw,table_header_english,page_number,table_number,raw_text_hash
NANGGROE ACEH DARUSSALAM,01,Simeulue,,2002,,"3,379,996.52",,"PDRB Per Kapita Atas Dasar Harga Berlaku Di Propinsi Nanggroe Aceh Darussalam Menurut Kabupaten/Kota, 2002 - 2006 (Rupiah)","Per Capita GRDP at Current Price By Regencies/Municipalities, in Nanggroe Aceh Darussalam, 2002 - 2006 (Rupiahs)",2,1,939fab151c74
NANGGROE ACEH DARUSSALAM,02,Aceh Singkil,,2002,,"4,500,370.96",,"PDRB Per Kapita Atas Dasar Harga Berlaku Di Propinsi Nanggroe Aceh Darussalam Menurut Kabupaten/Kota, 2002 - 2006 (Rupiah)","Per Capita GRDP at Current Price By Regencies/Municipalities, in Nanggroe Aceh Darussalam, 2002 - 2006 (Rupiahs)",2,1,806992369b5a
nan,75,Subussalam,#),2002,,,,nan,nan,nan,1,ed578398d77a
NANGGROE ACEH DARUSSALAM,03,Aceh Selatan,,2002,,"5,671,169.64",,"PDRB Per Kapita Atas Dasar Harga Berlaku Di Propinsi Nanggroe Aceh Darussalam Menurut Kabupaten/Kota, 2002 - 2006 (Rupiah)","Per Capita GRDP at Current Price By Regencies/Municipalities, in Nanggroe Aceh Darussalam, 2002 - 2006 (Rupiahs)",2,1,6ae6b7b9b34f
NANGGROE ACEH DARUSSALAM,12,Aceh Barat Daya,#),2002,,-,,"PDRB Per Kapita Atas Dasar Harga Berlaku Di Propinsi Nanggroe Aceh Darussalam Menurut Kabupaten/Kota, 2002 - 2006 (Rupiah)","Per Capita GRDP at Current Price By Regencies/Municipalities, in Nanggroe Aceh Darussalam, 2002 - 2006 (Rupiahs)",2,1,b50ff9cda9f9
NANGGROE ACEH DARUSSALAM,04,Aceh Tenggara,,2002,,"3,579,126.96",,"PDRB Per Kapita Atas Dasar Harga Berlaku Di Propinsi Nanggroe Aceh Darussalam Menurut Kabupaten/Kota, 2002 - 2006 (Rupiah)","Per Capita GRDP at Current Price By Regencies/Municipalities, in Nanggroe Aceh Darussalam, 2002 - 2006 (Rupiahs)",2,1,012294b89118
NANGGROE ACEH DARUSSALAM,13,Gayo Lues,#),2002,,-,,"PDRB Per Kapita Atas Dasar Harga Berlaku Di Propinsi Nanggroe Aceh Darussalam Menurut Kabupaten/Kota, 2002 - 2006 (Rupiah)","Per Capita GRDP at Current Price By Regencies/Municipalities, in Nanggroe Aceh Darussalam, 2002 - 2006 (Rupiahs)",2,1,5a983b44a47b
NANGGROE ACEH DARUSSALAM,05,Aceh Timur,,2002,,"6,326,285.29",,"PDRB Per Kapita Atas Dasar Harga Berlaku Di Propinsi Nanggroe Aceh Darussalam Menurut Kabupaten/Kota, 2002 - 2006 (Rupiah)","Per Capita GRDP at Current Price By Regencies/Municipalities, in Nanggroe Aceh Darussalam, 2002 - 2006 (Rupiahs)",2,1,b0821140104a
NANGGROE ACEH DARUSSALAM,,Aceh Timur,1),2002,,"4,233,710.21",,"PDRB Per Kapita Atas Dasar Harga Berlaku Di Propinsi Nanggroe Aceh Darussalam Menurut Kabupaten/Kota, 2002 - 2006 (Rupiah)","Per Capita GRDP at Current Price By Regencies/Municipalities, in Nanggroe Aceh Darussalam, 2002 - 2006 (Rupiahs)",2,1,6ab906540eee
NANGGROE ACEH DARUSSALAM,73,Langsa,#),2002,,"5,751,314.92",,"PDRB Per Kapita Atas Dasar Harga Berlaku Di Propinsi Nanggroe Aceh Darussalam Menurut Kabupaten/Kota, 2002 - 2006 (Rupiah)","Per Capita GRDP at Current Price By Regencies/Municipalities, in Nanggroe Aceh Darussalam, 2002 - 2006 (Rupiahs)",2,1,825a6660d33e
